group	group_label	group_color	transcript_type	transcript_label	sample_size	mean_detection_ratio	incremental_detection_ratio
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	9	0.9757818445517172	0.028061302285703582
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	10	1.0	0.024218155448282763
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	1	0.3288219468105461	0.3288219468105461
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	2	0.4881984809344372	0.15937653412389108
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	3	0.5947643029700356	0.10656582203559839
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	4	0.6813114829021856	0.08654717993215
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	5	0.7515514622064934	0.07023997930430781
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	6	0.815362346487526	0.06381088428103265
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	7	0.8701731288870705	0.05481078239954451
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	8	0.917951456196266	0.0477783273091954
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	9	0.9614101805053028	0.043458724309036856
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	novel	Novel	10	1.0	0.0385898194946972
Liver	Liver	#69AE6A	known	Annotated	1	0.421417673365821	0.421417673365821
Liver	Liver	#69AE6A	known	Annotated	2	0.5742623004664	0.15284462710057906
Liver	Liver	#69AE6A	known	Annotated	3	0.6739000642730373	0.09963776380663725
Liver	Liver	#69AE6A	known	Annotated	4	0.7423265997690623	0.06842653549602506
Liver	Liver	#69AE6A	known	Annotated	5	0.8054913487189757	0.06316474894991331
Liver	Liver	#69AE6A	known	Annotated	6	0.8531652329824649	0.047673884263489286
Liver	Liver	#69AE6A	known	Annotated	7	0.8975628253831116	0.04439759240064667
Liver	Liver	#69AE6A	known	Annotated	8	0.9341118956921236	0.036549070309012
Liver	Liver	#69AE6A	known	Annotated	9	0.9702516752813988	0.03613977958927517
Liver	Liver	#69AE6A	known	Annotated	10	1.0	0.029748324718601227
Liver	Liver	#69AE6A	novel	Novel	1	0.2967455239089698	0.2967455239089698
Liver	Liver	#69AE6A	novel	Novel	2	0.4571318541411213	0.16038633023215149
Liver	Liver	#69AE6A	novel	Novel	3	0.5729887181460488	0.1158568640049275
Liver	Liver	#69AE6A	novel	Novel	4	0.6576883685852467	0.08469965043919792
Liver	Liver	#69AE6A	novel	Novel	5	0.7386737358127277	0.08098536722748095
Liver	Liver	#69AE6A	novel	Novel	6	0.8017427742501371	0.06306903843740941
Liver	Liver	#69AE6A	novel	Novel	7	0.860775235991802	0.05903246174166488
Liver	Liver	#69AE6A	novel	Novel	8	0.9103115647968406	0.049536328805038665
Liver	Liver	#69AE6A	novel	Novel	9	0.9593035384518888	0.04899197365504815
Liver	Liver	#69AE6A	novel	Novel	10	1.0	0.04069646154811124
Lung_Base	Lung base	#AECBD1	known	Annotated	1	0.5249417402964494	0.5249417402964494
Lung_Base	Lung base	#AECBD1	known	Annotated	2	0.6598585348860974	0.134916794589648
Lung_Base	Lung base	#AECBD1	known	Annotated	3	0.7422357738680446	0.08237723898194727
Lung_Base	Lung base	#AECBD1	known	Annotated	4	0.8020918757055993	0.05985610183755463
Lung_Base	Lung base	#AECBD1	known	Annotated	5	0.8489630213274716	0.046871145621872334
Lung_Base	Lung base	#AECBD1	known	Annotated	6	0.8873644704953954	0.03840144916792376
Lung_Base	Lung base	#AECBD1	known	Annotated	7	0.9212051858280126	0.03384071533261723
Lung_Base	Lung base	#AECBD1	known	Annotated	8	0.9507424625218523	0.029537276693839765
Lung_Base	Lung base	#AECBD1	known	Annotated	9	0.9771697830337108	0.026427320511858476
Lung_Base	Lung base	#AECBD1	known	Annotated	10	1.0	0.022830216966289174
Lung_Base	Lung base	#AECBD1	novel	Novel	1	0.3443101822129332	0.3443101822129332
Lung_Base	Lung base	#AECBD1	novel	Novel	2	0.4997294912926666	0.1554193090797334
Lung_Base	Lung base	#AECBD1	novel	Novel	3	0.6086296069005491	0.10890011560788254
Lung_Base	Lung base	#AECBD1	novel	Novel	4	0.6919757174673992	0.08334611056685004
Lung_Base	Lung base	#AECBD1	novel	Novel	5	0.7607248511363512	0.06874913366895208
Lung_Base	Lung base	#AECBD1	novel	Novel	6	0.8189837678552808	0.058258916718929576
Lung_Base	Lung base	#AECBD1	novel	Novel	7	0.8718905181858982	0.052906750330617425
Lung_Base	Lung base	#AECBD1	novel	Novel	8	0.9188936344575204	0.047003116271622125
