gene	gene_id	module_MEnumber	module_Color
110931	ENST00000824155.1	ME2	blue
110939	ENST00000824249.1	ME2	blue
110940	ENST00000824265.1	ME1	turquoise
110943	ENST00000824298.1	ME3	brown
110946	ENST00000824315.1	ME1	turquoise
110947	ENST00000824350.1	ME1	turquoise
110948	ENST00000824373.1	ME1	turquoise
110949	ENST00000824375.1	ME1	turquoise
110954	ENST00000824410.1	ME3	brown
110956	ENST00000824417.1	ME20	royalblue
110957	ENST00000824418.1	ME2	blue
110958	ENST00000824419.1	ME2	blue
110959	ENST00000824425.1	ME1	turquoise
110960	ENST00000824432.1	ME2	blue
110961	ENST00000824436.1	ME2	blue
110962	ENST00000824448.1	ME2	blue
110963	ENST00000824449.1	ME1	turquoise
110964	ENST00000824450.1	ME2	blue
110965	ENST00000824456.1	ME1	turquoise
110967	ENST00000824508.1	ME16	lightcyan
110968	ENST00000824509.1	ME3	brown
110969	ENST00000824513.1	ME3	brown
110971	ENST00000824544.1	ME16	lightcyan
110976	ENST00000824603.1	ME1	turquoise
110977	ENST00000824614.1	ME1	turquoise
110978	ENST00000824617.1	ME2	blue
110979	ENST00000824623.1	ME3	brown
110981	ENST00000824645.1	ME4	yellow
110982	ENST00000824669.1	ME1	turquoise
110983	ENST00000824678.1	ME1	turquoise
110984	ENST00000824681.1	ME1	turquoise
110986	ENST00000824684.1	ME1	turquoise
110987	ENST00000824694.1	ME3	brown
110988	ENST00000824695.1	ME1	turquoise
110990	ENST00000824751.1	ME1	turquoise
110993	ENST00000824761.1	ME3	brown
110995	ENST00000824774.1	ME3	brown
111001	ENST00000824793.1	ME1	turquoise
111002	ENST00000824799.1	ME1	turquoise
111005	ENST00000824833.1	ME1	turquoise
111007	ENST00000824850.1	ME9	magenta
111008	ENST00000824854.1	ME1	turquoise
111011	ENST00000824878.1	ME4	yellow
111012	ENST00000824881.1	ME1	turquoise
111013	ENST00000824899.1	ME2	blue
111014	ENST00000824924.1	ME3	brown
111015	ENST00000824941.1	ME1	turquoise
111016	ENST00000824944.1	ME1	turquoise
111018	ENST00000825030.1	ME1	turquoise
111019	ENST00000825052.1	ME3	brown
111022	ENST00000825117.1	ME2	blue
111023	ENST00000825150.1	ME1	turquoise
111025	ENST00000825171.1	ME1	turquoise
111026	ENST00000825176.1	ME2	blue
